Embarcaciones;Drones;Prob. de falla;TMI
45;3;0;70,67
45;3;0;70,47
45;3;0;46,62
45;3;0;70,6
45;3;0;77,18
45;3;0;57,82
45;3;0;55,27
45;3;0;58,49
45;3;0;62,13
45;3;0;69,11
45;3;0;50,71
45;3;0;58,76
45;3;0;60,69
45;3;0;50,56
45;3;0;54,02
45;3;0;62,62
45;3;0;48,56
45;3;0;51,76
45;3;0;57,2
45;3;0;70,18
45;3;0;58,2
45;3;0;58,56
45;3;0;66,73
45;3;0;63,42
45;5;0;51,13
45;5;0;55,33
45;5;0;41,27
45;5;0;41,49
45;5;0;59,8
45;5;0;56,11
45;5;0;59,6
45;5;0;51,78
45;5;0;43,27
45;5;0;57,29
45;5;0;54,49
45;5;0;54,76
45;5;0;64,64
45;5;0;45,51
45;5;0;59,2
45;5;0;53,89
45;5;0;50,51
45;5;0;60,91
45;5;0;48,78
45;5;0;36,22
45;5;0;65,67
45;5;0;50,78
45;5;0;51,6
45;5;0;57,58
45;5;0;57,49
45;5;0;55,78
45;5;0;61,69
45;5;0;51,36
45;5;0;53,67
45;5;0;42,91
45;1;0,002;55,36
45;1;0,002;66,67
45;1;0,002;59,8
45;1;0,002;62,4
45;1;0,002;47,22
45;1;0,002;55,07
45;1;0,002;55,29
45;1;0,002;57,13
45;1;0,002;58,38
45;1;0,002;56,2
45;1;0,002;52,67
45;1;0,002;61,07
45;1;0,002;55,82
45;1;0,002;47,62
45;1;0,002;68,47
45;1;0,002;63,22
45;1;0,002;61,51
45;1;0,002;57,76
45;1;0,002;61,49
45;1;0,002;64,71
45;1;0,002;62,58
45;1;0,002;65,18
45;1;0,002;65,53
45;1;0,002;53,16
45;1;0,002;48,8
45;1;0,002;73,11
45;1;0,002;73
45;1;0,002;54,69
45;1;0,002;64,98
45;1;0,002;58,22
45;3;0,002;57,71
45;3;0,002;56,33
45;3;0,002;67,91
45;3;0,002;63,91
45;3;0,002;66,56
45;3;0,002;56,87
45;3;0,002;53,4
45;3;0,002;65,98
45;3;0,002;54,07
45;3;0,002;57,11
45;3;0,002;86,36
45;3;0,002;69,98
45;3;0,002;70,67
45;3;0,002;53,71
45;3;0,002;57,44
45;3;0,002;66,42
45;3;0,002;50,44
45;3;0,002;57,16
45;3;0,002;58,13
45;3;0,002;46,69
45;3;0,002;53,49
45;3;0,002;60,6
45;3;0,002;51,38
45;3;0,002;68,44
45;3;0,002;58,67
45;3;0,002;63,87
45;3;0,002;60,87
45;3;0,002;48,56
45;3;0,002;43,91
45;3;0,002;61,47
45;5;0,002;45,07
45;5;0,002;61,82
45;5;0,002;61,87
45;5;0,002;55,33
45;5;0,002;43,78
45;5;0,002;44,29
45;5;0,002;65,11
45;5;0,002;48,04
45;5;0,002;62,02
45;5;0,002;57,89
45;5;0,002;37,89
45;5;0,002;53,56
45;5;0,002;59
45;5;0,002;54,24
45;5;0,002;53,89
45;5;0,002;47,89
45;5;0,002;52,04
45;5;0,002;57
45;5;0,002;49,09
